tourney_date,surface,tourney_level,best_of,winner_name,loser_name,winner_id,loser_id,winner_rank,loser_rank,winner_age,winner_ht,winner_hand,loser_age,loser_ht,loser_hand,round
20250107,Hard,A,3,Miomir Kecmanovic,Alexander Bublik,200175,122330,55,33,25.35523613963039,183.0,R,27.55920602327173,196.0,R,1st Round
20250107,Hard,A,3,Marcos Giron,Aleksandar Vukic,106218,126846,45,67,31.457905544147845,180.0,R,28.75564681724846,188.0,R,1st Round
20250107,Hard,A,3,Brandon Nakashima,Yannick Hanfmann,206909,105870,37,98,23.430527036276523,188.0,R,33.152635181382614,193.0,R,1st Round
20250107,Hard,A,3,Arthur Cazaux,Adam Walton,209070,200443,80,91,22.376454483230663,183.0,R,25.727583846680357,183.0,R,1st Round
20250107,Hard,A,3,Li Tu,James Duckworth,111454,105902,179,94,28.61601642710472,183.0,R,32.9637234770705,183.0,R,1st Round
20250107,Hard,A,3,Manuel Guinard,Roman Safiullin,131905,126128,261,62,29.14715947980835,198.0,R,27.419575633127995,185.0,R,1st Round
20250107,Hard,A,3,Tomas Martin Etcheverry,Tristan Schoolkate,144869,209262,39,173,25.475701574264203,196.0,R,23.863107460643395,183.0,R,1st Round
20250107,Hard,A,3,Rinky Hijikata,David Goffin,208014,105676,79,53,23.871321013004792,178.0,R,34.08624229979466,180.0,R,1st Round
20250107,Hard,A,3,Gael Monfils,Pablo Martinez,104792,103492,52,43,38.351813826146476,193.0,R,44.98015058179329,,R,1st Round
20250108,Hard,A,3,Roberto Carballes Baena,Francisco Cerundolo,106148,202103,59,31,31.797399041752225,183.0,R,26.406570841889117,185.0,R,2nd Round
20250108,Hard,A,3,Alex Michelsen,Lorenzo Sonego,210506,132283,41,54,20.372347707049965,193.0,R,29.66461327857632,191.0,R,2nd Round
20250108,Hard,A,3,Jakub Mensik,Bryan Shelton,210084,101214,49,21,19.353867214236825,,U,59.04722792607803,185.0,R,2nd Round
20250108,Hard,A,3,Nishesh Basavareddy,Alex Michelsen,210460,210506,133,41,19.68788501026694,180.0,R,20.372347707049965,193.0,R,Quarterfinals
20250108,Hard,A,3,Facundo Diaz Acosta,Sebastian Baez,207680,202104,78,28,24.06570841889117,183.0,L,24.030116358658454,170.0,R,2nd Round
20250108,Hard,A,3,Nuno Borges,Mariano Navone,132686,208363,36,46,27.88501026694045,185.0,R,23.863107460643395,178.0,R,2nd Round
20250108,Hard,A,3,Gael Monfils,Jan Lennard Struff,104792,105526,52,42,38.35455167693361,193.0,R,34.70773442847365,193.0,R,2nd Round
20250108,Hard,A,3,Marcos Giron,Denis Shapovalov,106218,133430,45,58,31.460643394934976,180.0,R,25.73579739904175,185.0,L,2nd Round
